bug_id,method,apfd,num_tests,num_triggering,dataset
8,ComplexityOnly,0.9615384615384616,13,1,Jsoup
8,Proposed,0.9615384615384616,13,1,Jsoup
9,Random,0.1153846153846153,13,1,Jsoup
9,FailureHistory,0.9615384615384616,13,1,Jsoup
9,ChangeFrequency,0.9615384615384616,13,1,Jsoup
9,ComplexityOnly,0.9615384615384616,13,1,Jsoup
9,Proposed,0.9615384615384616,13,1,Jsoup
10,Random,0.1153846153846153,13,1,Jsoup
10,FailureHistory,0.423076923076923,13,1,Jsoup
10,ChangeFrequency,0.9615384615384616,13,1,Jsoup
10,ComplexityOnly,0.9615384615384616,13,1,Jsoup
10,Proposed,0.9615384615384616,13,1,Jsoup
